name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Bendakaluru Bytes,Yes,No,3,154,Quick Bites,Fast Food,300,Delivery,Banashankari
Cocoa Bakes,Yes,No,3,14,Bakery,"Bakery, Desserts",350,Delivery,Banashankari
Chumma Delicious,Yes,No,3,237,Quick Bites,"South Indian, Fast Food",200,Delivery,Banashankari
New Prashanth Hotel,Yes,No,3,388,Casual Dining,others,650,Delivery,Banashankari
SSV Upahar,Yes,No,3,0,Quick Bites,"South Indian, Chinese",300,Delivery,Banashankari
Dwaraka Grand,Yes,No,3,128,Casual Dining,others,500,Delivery,Banashankari
Gufha - The President Hotel,Yes,Yes,4,1875,Casual Dining,others,1200,Delivery,Banashankari
Cafe Vivacity,Yes,No,3,90,Cafe,Cafe,650,Delivery,Banashankari
Tanna's Kitchen,Yes,No,3,7,Quick Bites,others,250,Delivery,Banashankari
Shree Mandarathi Grand,Yes,No,3,38,Casual Dining,"South Indian, North Indian",400,Delivery,Banashankari
Mojo Pizza - 2X Toppings,Yes,No,4,179,Delivery,Pizza,600,Delivery,Banashankari
Iceberg Icecreams,Yes,No,4,43,Dessert Parlor,"Desserts, Ice Cream",250,Delivery,Banashankari
South Kitchen,Yes,No,4,275,Quick Bites,South Indian,100,Delivery,Banashankari
Chung Wah,Yes,No,3,323,Casual Dining,"Chinese, Thai, Momos",850,Delivery,Banashankari
Shanthi Sagar,Yes,No,3,28,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Banashankari
Millet Mama,Yes,No,3,18,Quick Bites,others,200,Delivery,Banashankari
Bangarpet Chat Express,Yes,No,3,6,Quick Bites,others,100,Delivery,Banashankari
South Cool Point,Yes,No,3,0,Dessert Parlor,Beverages,100,Delivery,Banashankari
Prems Graama Bhojanam,Yes,No,4,322,Casual Dining,South Indian,400,Delivery,Banashankari
Java City,Yes,No,2,157,Cafe,others,450,Delivery,Banashankari
Kamat Bugle Rock,Yes,No,3,543,Quick Bites,"South Indian, Fast Food",300,Delivery,Banashankari
Woodee Pizza,Yes,No,3,180,Cafe,others,500,Delivery,Banashankari
Puliyogare Point,Yes,No,4,444,Quick Bites,South Indian,100,Delivery,Banashankari
Bangalore Agarwal Bhavan,Yes,No,3,134,Quick Bites,others,400,Delivery,Banashankari
Rustic Stove,Yes,No,3,577,Casual Dining,others,900,Delivery,Banashankari
Udupi Ruchi Grand,Yes,No,4,60,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
De Thaali,Yes,No,3,144,Casual Dining,others,550,Delivery,Banashankari
Spice Elephant,Yes,No,4,787,Casual Dining,others,800,Delivery,Banashankari
Just Thindi,Yes,No,3,16,Quick Bites,South Indian,200,Delivery,Banashankari
Matru Sagar,Yes,No,3,84,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery,Banashankari
Vasanth Vihar - Since 1965,Yes,No,3,95,Quick Bites,others,150,Delivery,Banashankari
Sea Spice by 7 Star,Yes,Yes,4,349,Casual Dining,others,1200,Delivery,Banashankari
Desi Dawat,Yes,No,3,248,Quick Bites,"North Indian, Fast Food",400,Delivery,Banashankari
Cafe Aira,Yes,No,4,216,Cafe,others,500,Delivery,Banashankari
Donne Biriyani combos,Yes,No,3,0,Casual Dining,Biryani,400,Delivery,Banashankari
Penthouse Cafe,Yes,No,4,324,Cafe,others,700,Delivery,Banashankari
Mast Punjabi,Yes,No,2,231,Quick Bites,others,400,Delivery,Banashankari
South Grand,Yes,No,3,102,Casual Dining,others,400,Delivery,Banashankari
Catch-up-ino,Yes,No,3,133,Cafe,others,800,Delivery,Banashankari
